iter	Passed	Remaining
515	886	831
516	887	829
517	888	826
518	889	824
519	891	822
520	893	821
521	895	819
522	896	817
523	897	815
524	899	813
525	900	811
526	901	809
527	903	807
528	904	805
529	906	803
530	908	802
531	909	800
532	911	798
533	912	796
534	913	793
535	914	791
536	915	789
537	917	787
538	918	785
539	919	783
540	921	781
541	923	780
542	925	778
543	926	776
544	928	774
545	929	772
546	930	770
547	931	768
548	933	766
549	934	764
550	935	762
551	939	762
552	940	760
553	942	758
554	943	756
555	945	754
556	946	752
557	948	751
558	949	749
559	951	747
560	953	745
561	954	743
562	956	742
563	957	740
564	959	738
565	960	736
566	962	734
567	963	733
568	965	731
569	967	729
570	969	728
571	970	726
572	972	724
573	973	722
574	975	720
575	976	718
576	978	717
577	979	715
578	982	714
579	983	712
580	985	710
581	986	708
582	988	706
583	989	704
584	990	702
585	992	700
586	993	698
587	995	697
588	997	695
589	998	694
590	1000	692
591	1001	690
592	1002	688
593	1004	686
594	1005	684
595	1007	682
596	1008	681
597	1011	680
598	1013	678
599	1014	676
600	1016	674
601	1017	672
602	1018	670
603	1020	669
604	1021	667
605	1023	665
606	1024	663
607	1026	662
608	1028	660
609	1029	658
610	1031	656
611	1033	655
612	1035	653
613	1036	651
614	1038	650
615	1041	649
616	1042	647
617	1044	645
618	1045	643
619	1047	641
620	1048	639
621	1049	637
622	1051	636
623	1052	634
624	1053	632
625	1054	630
626	1057	629
627	1058	627
628	1060	625
629	1061	623
630	1062	621
631	1064	619
632	1065	617
633	1066	615
634	1068	614
635	1069	612
636	1071	610
637	1072	608
638	1073	606
639	1074	604
640	1076	602
641	1077	600
642	1078	598
643	1079	596
644	1080	594
645	1082	593
646	1083	591
647	1084	589
648	1086	587
649	1088	586
650	1089	584
651	1090	582
652	1091	580
653	1093	578
654	1094	576
655	1095	574
656	1096	572
657	1097	570
658	1099	568
659	1100	567
660	1102	565
661	1103	563
662	1104	561
663	1105	559
664	1107	557
665	1108	556
666	1110	554
667	1111	552
668	1112	550
669	1113	548
670	1115	546
671	1117	545
672	1118	543
673	1120	542
674	1122	540
675	1123	538
676	1125	536
677	1126	535
678	1128	533
679	1129	531
680	1131	530
681	1133	528
682	1134	526
683	1136	525
684	1137	523
685	1139	521
686	1140	519
687	1141	517
688	1142	515
689	1143	513
690	1146	512
691	1148	511
692	1150	509
693	1152	508
694	1154	506
695	1155	504
696	1156	502
697	1158	501
698	1160	499
699	1162	498
700	1163	496
701	1165	494
702	1166	492
703	1168	491
704	1169	489
705	1171	487
706	1172	486
707	1174	484
708	1178	483
709	1180	482
710	1181	480
711	1182	478
712	1184	476
713	1186	475
714	1188	473
715	1189	472
716	1192	470
717	1194	469
718	1196	467
719	1197	465
720	1199	464
721	1200	462
722	1203	460
723	1205	459
724	1207	458
725	1211	457
726	1213	455
727	1214	453
728	1215	451
729	1217	450
730	1218	448
731	1222	447
732	1223	445
733	1224	443
734	1225	442
735	1227	440
736	1228	438
737	1229	436
738	1231	434
739	1232	432
740	1233	431
741	1236	429
742	1237	428
743	1239	426
744	1240	424
745	1241	422
746	1243	421
747	1244	419
748	1245	417
749	1247	415
750	1248	413
751	1250	412
752	1252	410
753	1253	409
754	1255	407
755	1256	405
756	1257	403
757	1258	401
758	1260	400
759	1261	398
760	1263	396
761	1265	395
762	1266	393
763	1267	391
764	1269	389
765	1270	388
766	1271	386
767	1273	384
768	1274	382
769	1275	381
770	1277	379
771	1278	377
772	1280	376
773	1282	374
774	1283	372
775	1284	370
776	1286	369
777	1287	367
778	1288	365
779	1289	363
780	1291	362
781	1292	360
782	1294	358
783	1296	357
784	1297	355
785	1298	353
786	1299	351
787	1300	349
788	1302	348
789	1303	346
790	1304	344
791	1306	343
792	1307	341
793	1310	340
794	1312	338
795	1313	336
796	1315	334
797	1316	333
798	1317	331
799	1318	329
800	1320	328
801	1321	326
802	1322	324
803	1325	323
804	1326	321
805	1327	319
806	1329	317
807	1330	316
808	1331	314
809	1332	312
810	1333	310
811	1335	309
812	1336	307
813	1338	305
814	1340	304
815	1342	302
816	1343	300
817	1344	299
818	1346	297
819	1347	295
820	1348	294
821	1349	292
822	1351	290
823	1352	288
824	1355	287
825	1356	285
826	1358	284
827	1359	282
828	1360	280
829	1362	279
830	1363	277
831	1364	275
832	1366	273
833	1367	272
834	1369	270
835	1370	268
836	1372	267
837	1373	265
838	1374	263
839	1375	262
840	1377	260
841	1378	258
842	1379	256
843	1380	255
844	1382	253
845	1385	252
846	1387	250
847	1389	248
848	1390	247
849	1391	245
850	1392	243
851	1393	242
852	1395	240
853	1396	238
854	1399	237
855	1401	235
856	1403	234
857	1405	232
858	1406	230
859	1408	229
860	1409	227
861	1410	225
862	1411	224
863	1413	222
864	1416	221
865	1417	219
866	1418	217
867	1419	215
868	1421	214
869	1422	212
870	1423	210
871	1424	209
872	1425	207
873	1427	205
874	1429	204
875	1431	202
876	1432	200
877	1433	199
878	1434	197
879	1436	195
880	1437	194
881	1438	192
882	1439	190
883	1441	189
884	1442	187
885	1444	185
886	1446	184
887	1447	182
888	1449	180
889	1450	179
890	1451	177
891	1452	175
892	1454	174
893	1455	172
894	1456	170
895	1458	169
896	1460	167
897	1461	166
898	1462	164
899	1464	162
900	1465	161
901	1467	159
902	1468	157
903	1469	156
904	1470	154
905	1472	152
906	1475	151
907	1476	149
908	1478	147
909	1479	146
910	1480	144
911	1481	142
912	1483	141
913	1484	139
914	1485	138
915	1486	136
916	1488	134
917	1490	133
918	1492	131
919	1493	129
920	1494	128
921	1495	126
922	1497	124
923	1498	123
924	1499	121
925	1501	119
926	1502	118
927	1504	116
928	1505	115
929	1507	113
930	1508	111
931	1509	110
932	1511	108
933	1512	106
934	1513	105
935	1514	103
936	1516	101
937	1517	100
938	1520	98
939	1521	97
940	1522	95
941	1524	93
942	1525	92
943	1527	90
944	1528	88
945	1529	87
946	1531	85
947	1532	84
948	1534	82
949	1536	80
950	1537	79
951	1538	77
952	1540	75
953	1542	74
954	1543	72
955	1544	71
956	1545	69
957	1546	67
958	1548	66
959	1550	64
960	1552	62
961	1553	61
962	1554	59
963	1555	58
964	1557	56
965	1558	54
966	1559	53
967	1561	51
968	1562	49
969	1563	48
970	1565	46
971	1567	45
972	1568	43
973	1570	41
974	1571	40
975	1572	38
976	1573	37
977	1575	35
978	1576	33
979	1577	32
980	1580	30
981	1582	28
982	1583	27
983	1584	25
984	1585	24
985	1587	22
986	1588	20
987	1589	19
988	1590	17
989	1591	16
990	1592	14
991	1595	12
992	1596	11
993	1597	9
994	1599	8
995	1600	6
996	1601	4
997	1602	3
998	1603	1
999	1604	0
